x	y
691170.0061	5992643.396
691183.6275	5992643.959
691182.3538	5992674.803
691182.4114	5992674.806
691182.4084	5992674.879
691202.2396	5992675.698
691255.0574	5992677.88
691253.4931	5992712.574
691290.0137	5992714.083
691287.6241	5992771.915
691324.0221	5992773.419
691322.7471	5992804.272
691322.8037	5992804.274
691322.801	5992804.34
691393.6155	5992807.267
691390.2804	5992930.733
691353.9699	5992929.232
691348.8492	5993053.115
691312.5251	5993051.614
691311.2628	5993082.156
691274.8673	5993080.652
691273.5874	5993111.627
691237.273	5993110.127
691237.1513	5993113.073
691236.9482	5993113.064
691235.9167	5993141.208
691272.303	5993142.711
691271.0279	5993173.569
691234.714	5993172.069
691234.7115	5993172.129
691234.6394	5993172.126
691234.2718	5993181.023
691233.362	5993203.044
691269.7479	5993204.547
691268.4703	5993235.466
691232.0847	5993233.962
691231.7493	5993242.081
691225.5764	5993388.325
691153.0694	5993385.33
691153.065	5993385.436
691153.0074	5993385.434
691151.7458	5993415.98
691115.4246	5993414.481
691115.4228	5993414.524
691115.4176	5993414.524
691115.4018	5993415.032
691114.1458	5993445.451
691078.1997	5993443.967
691077.757	5993443.94
691076.4806	5993474.858
691003.8442	5993471.86
691003.8458	5993471.922
691003.78	5993471.92
691002.5019	5993502.89
690968.6662	5993501.494
690966.1849	5993501.277
690965.2763	5993523.298
690964.9023	5993532.362
690928.5209	5993530.861
690928.5186	5993530.917
690928.5168	5993530.917
690927.8562	5993546.932
690927.2415	5993561.833
690890.8608	5993560.332
690890.8607	5993560.334
690890.8584	5993560.334
690885.9387	5993676.439
690881.7397	5993770.741
690881.4862	5993776.26
690845.6358	5993774.781
690844.3593	5993805.738
690808.044	5993804.24
690808.0415	5993804.255
690808.0406	5993804.254
690808.0404	5993804.261
690802.7124	5993834.991
690770.3885	5993833.659
690770.3857	5993833.725
690770.3835	5993833.725
690769.1117	5993864.577
690660.1032	5993860.085
690656.754	5993891.09
690656.7251	5993891.089
690476.9861	5993883.687
690478.2657	5993852.597
690476.2791	5993852.635
690406.3295	5993849.757
690406.9729	5993818.692
690375.7613	5993817.408
690370.5266	5993817.193
690372.6539	5993765.477
690373.0703	5993755.356
690372.9962	5993755.353
690372.9977	5993755.315
690263.98	5993750.832
690261.8061	5993776.845
690261.3811	5993781.748
690226.5024	5993780.315
690226.4049	5993780.296
690226.4043	5993780.311
690226.3262	5993780.307
690225.0559	5993811.211
690219.1796	5993810.97
690188.7532	5993809.719
690188.7502	5993809.786
690188.7352	5993809.785
690188.5695	5993813.817
690187.1734	5993844.97
690179.8721	5994009.732
690179.0384	5994028.25
690214.9726	5994029.727
690206.1833	5994243.554
690170.9683	5994242.106
690168.198	5994273.015
690133.3188	5994271.582
690132.0461	5994302.554
690095.7633	5994301.063
690094.4919	5994332.012
690058.1665	5994330.519
690058.1658	5994330.542
690058.1147	5994330.54
690055.5879	5994392.057
690019.2745	5994390.566
690019.2714	5994390.64
690019.2595	5994390.64
690019.2542	5994391.061
690018.0026	5994421.536
689908.9384	5994417.059
689910.1654	5994387.162
689910.2614	5994386.165
689910.2065	5994386.163
689910.2095	5994386.088
689873.8962	5994384.598
689874.8593	5994360.932
689880.959	5994212.285
689881.4793	5994199.606
689845.11	5994198.114
689846.3801	5994167.157
689810.0026	5994165.665
689810.001	5994165.703
689809.992	5994165.703
689808.7238	5994196.621
689794.8531	5994196.053
689627.0965	5994189.175
689627.0965	5994189.188
