PROV	COUNTY	TOWN	POP	CASES	DEATHS	MORT	FIRST_DAY	LAST_DAY	x	y
Munster	Cork	Mitchelstown	4181	1	0	0	147	149	549824.5219	5790898.921
Munster	Cork	Skibbereen	4715	112	48	42.8	164	187	481827.13	5711681.25
Munster	Cork	Youghal	9939	149	90	60.4	150	195	579221.677	5756579.699
Ulster	Donegal	Ballyshannon	3513	0	0	0	0	0	552320.2165	6039787.045
Ulster	Donegal	Letterkenny	2161	0	0	0	0	0	581052.9753	6090610.263
Ulster	Down	Banbridge	3324	0	0	0	0	0	677443.0343	6025785.811
Ulster	Down	Bangor	3116	29	19	65.5	93	306	716522.1179	6060244.83
Ulster	Down	Donaghadee	3151	63	30	47.6	41	280	723346.812	6060537.782
Ulster	Down	Downpatrick	4866	136	72	52.9	240	289	713544.8645	6025081.656
Ulster	Down	Dromore	2110	5	3	60	193	208	685117.6426	6033502.571
Ulster	Down	Newtownards	7621	115	34	29.5	79	113	714063.0914	6055060.323
Ulster	Down	Portaferry	2107	0	0	0	0	0	724597.8398	6031782.388
Ulster	Down	Rathfriland	2183	0	0	0	0	0	684930.2528	6013710.767
Leinster	Dublin	Balbriggan	2929	111	22	19.8	265	319	686420.7327	5943635.994
Leinster	Dublin	Blackrock	2372	51	18	35.3	167	331	688107.1247	5909448.633
Leinster	Dublin	Dublin	238531	3813	1664	43.6	58	349	682352.2172	5914683.537
Leinster	Dublin	Kingstown	7229	88	37	42	152	303	690483.0877	5908651.962
Leinster	Dublin	Ranelagh	2290	0	0	0	0	0	682664.9613	5912138.252
Leinster	Dublin	Rathmines	2429	2	1	50	283	298	682125.4908	5911564.911
Leinster	Dublin	Skerries	2417	126	45	35.7	252	315	691453.9396	5940745.015
Ulster	Fermanagh	Enniskillen	5686	0	0	0	0	0	588998.4965	6022619.229
Connaught	Galway	Ballinasloe	4934	1377	756	54.9	141	259	551484.4866	5909122.192
Connaught	Galway	Galway	32511	897	426	47.4	128	177	496220.8059	5902370.172
Connaught	Galway	Gort	3056	1044	403	38.6	114	233	512145.0784	5879699.409
Connaught	Galway	Loughrea	5458	647	290	44.8	144	178	528985.5743	5894486.326
Connaught	Galway	Tuam	6034	487	224	46	139	194	509572.5666	5929904.64
